tokenId,name,description,tier,sphere_name,image
55,Futuris Sphere #55 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Rare,Noctilux,Noctilux_6.png
102,Futuris Sphere #102 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Common,Noctilux,Noctilux_8.png
28,Futuris Sphere #28 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Rare,Aurivis,Aurivis_6.png
38,Futuris Sphere #38 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Rare,Nebulux,Nebulux_2.png
17,Futuris Sphere #17 - Nox,"A sleek, mysterious name symbolizing the unknown depths of space.",Epic,Nox,Nox_5.png
93,Futuris Sphere #93 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Common,Nyxara,Nyxara_5.png
84,Futuris Sphere #84 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Common,Nebulux,Nebulux_3.png
103,Futuris Sphere #103 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_1.png
52,Futuris Sphere #52 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Rare,Noctilux,Noctilux_3.png
76,Futuris Sphere #76 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Common,Eclion,Eclion_1.png
44,Futuris Sphere #44 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Rare,Nyxara,Nyxara_1.png
106,Futuris Sphere #106 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_4.png
59,Futuris Sphere #59 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_3.png
20,Futuris Sphere #20 - Halois,"A celestial take on 'halo,' representing a radiant glow.",Epic,Halois,Halois_3.png
64,Futuris Sphere #64 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_8.png
104,Futuris Sphere #104 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_2.png
107,Futuris Sphere #107 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_5.png
63,Futuris Sphere #63 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_7.png
21,Futuris Sphere #21 - Halois,"A celestial take on 'halo,' representing a radiant glow.",Epic,Halois,Halois_4.png
23,Futuris Sphere #23 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Rare,Aurivis,Aurivis_1.png
53,Futuris Sphere #53 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Rare,Noctilux,Noctilux_4.png
2,Futuris Sphere #2 - Zyphos,"A futuristic, sci-fi-inspired name for a hyper-tech sphere.",Legendary,Zyphos,Zyphos_2.png
35,Futuris Sphere #35 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Rare,Eclion,Eclion_5.png
22,Futuris Sphere #22 - Halois,"A celestial take on 'halo,' representing a radiant glow.",Epic,Halois,Halois_5.png
111,Futuris Sphere #111 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_9.png
25,Futuris Sphere #25 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Rare,Aurivis,Aurivis_3.png
81,Futuris Sphere #81 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Common,Eclion,Eclion_6.png
72,Futuris Sphere #72 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_7.png
10,Futuris Sphere #10 - Lumirion,"A mix of 'luminosity' and 'orion,' evoking cosmic brilliance.",Legendary,Lumirion,Lumirion_4.png
85,Futuris Sphere #85 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Common,Nebulux,Nebulux_4.png
70,Futuris Sphere #70 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_5.png
92,Futuris Sphere #92 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Common,Nyxara,Nyxara_4.png
74,Futuris Sphere #74 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_9.png
